"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/11/2024","1,700.0","1,700.0","1,700.0","1,700.0","842.54K","-5.56%"
"30/10/2024","1,800.0","2,000.0","2,000.0","1,800.0","5.07M","-10.00%"
"29/10/2024","2,000.0","2,000.0","2,100.0","1,900.0","1.43M","0.00%"
"28/10/2024","2,000.0","2,100.0","2,200.0","2,000.0","123.52K","-4.76%"
"25/10/2024","2,100.0","2,100.0","2,200.0","2,000.0","462.97K","0.00%"
"24/10/2024","2,100.0","2,100.0","2,200.0","2,100.0","408.94K","0.00%"
"23/10/2024","2,100.0","2,000.0","2,300.0","2,000.0","899.11K","0.00%"
"22/10/2024","2,100.0","2,100.0","2,100.0","2,000.0","219.35K","0.00%"
"21/10/2024","2,100.0","2,100.0","2,200.0","2,000.0","341.15K","0.00%"
"18/10/2024","2,100.0","2,100.0","2,200.0","2,100.0","150.07K","0.00%"
"17/10/2024","2,100.0","2,200.0","2,200.0","2,100.0","323.84K","-4.55%"
"16/10/2024","2,200.0","2,200.0","2,300.0","2,100.0","493.95K","0.00%"
"15/10/2024","2,200.0","2,100.0","2,300.0","2,100.0","670.09K","4.76%"
"14/10/2024","2,100.0","2,100.0","2,200.0","2,000.0","683.39K","0.00%"
"11/10/2024","2,100.0","2,300.0","2,300.0","2,000.0","2.22M","-4.55%"
"10/10/2024","2,200.0","2,400.0","2,400.0","2,200.0","1.87M","-8.33%"
"09/10/2024","2,400.0","2,600.0","2,600.0","2,400.0","1.74M","-7.69%"
"08/10/2024","2,600.0","2,800.0","2,800.0","2,600.0","2.02M","-7.14%"
"07/10/2024","2,800.0","2,800.0","2,800.0","2,700.0","144.57K","0.00%"
"04/10/2024","2,800.0","2,700.0","2,800.0","2,700.0","186.46K","3.70%"
"03/10/2024","2,700.0","2,800.0","2,800.0","2,700.0","252.84K","-3.57%"
"02/10/2024","2,800.0","2,900.0","2,900.0","2,700.0","231.89K","0.00%"
"01/10/2024","2,800.0","2,800.0","2,900.0","2,700.0","392.35K","0.00%"
"30/09/2024","2,800.0","2,800.0","2,800.0","2,700.0","311.85K","0.00%"
"27/09/2024","2,800.0","2,800.0","2,900.0","2,800.0","240.19K","0.00%"
"26/09/2024","2,800.0","2,900.0","2,900.0","2,800.0","370.53K","0.00%"
"25/09/2024","2,800.0","2,900.0","2,900.0","2,700.0","1.08M","-3.45%"
"24/09/2024","2,900.0","2,900.0","2,900.0","2,800.0","209.96K","0.00%"
"23/09/2024","2,900.0","2,900.0","3,000.0","2,800.0","531.52K","0.00%"
"20/09/2024","2,900.0","2,900.0","3,000.0","2,900.0","266.16K","0.00%"
"19/09/2024","2,900.0","3,000.0","3,000.0","2,900.0","104.82K","0.00%"
"18/09/2024","2,900.0","3,000.0","3,000.0","2,900.0","262.50K","-3.33%"
"17/09/2024","3,000.0","2,900.0","3,000.0","2,900.0","447.31K","3.45%"
"16/09/2024","2,900.0","3,000.0","3,000.0","2,900.0","469.15K","0.00%"
"13/09/2024","2,900.0","3,000.0","3,000.0","2,900.0","384.00K","0.00%"
"12/09/2024","2,900.0","3,000.0","3,000.0","2,900.0","164.66K","-3.33%"
"11/09/2024","3,000.0","3,000.0","3,000.0","2,900.0","164.75K","0.00%"
"10/09/2024","3,000.0","3,000.0","3,100.0","2,900.0","150.52K","0.00%"
"09/09/2024","3,000.0","3,000.0","3,000.0","2,900.0","140.75K","0.00%"
"06/09/2024","3,000.0","3,000.0","3,100.0","2,900.0","172.85K","0.00%"
"05/09/2024","3,000.0","3,100.0","3,100.0","3,000.0","276.52K","-3.23%"
