"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/11/2024","37,200.0","36,300.0","37,200.0","36,300.0","1.62M","2.48%"
"05/11/2024","36,300.0","36,200.0","36,350.0","36,050.0","1.31M","0.55%"
"04/11/2024","36,100.0","37,000.0","37,000.0","36,000.0","3.28M","-2.04%"
"01/11/2024","36,850.0","37,450.0","37,500.0","36,850.0","1.89M","-1.86%"
"31/10/2024","37,550.0","37,600.0","37,650.0","37,400.0","1.37M","-0.13%"
"30/10/2024","37,600.0","38,100.0","38,100.0","37,500.0","1.86M","-1.31%"
"29/10/2024","38,100.0","37,550.0","38,100.0","37,500.0","5.29M","1.87%"
"28/10/2024","37,400.0","36,650.0","37,400.0","36,500.0","2.08M","2.19%"
"25/10/2024","36,600.0","36,700.0","37,200.0","36,600.0","1.76M","0.00%"
"24/10/2024","36,600.0","36,500.0","37,100.0","36,500.0","2.06M","0.27%"
"23/10/2024","36,500.0","36,350.0","36,700.0","36,200.0","1.05M","0.27%"
"22/10/2024","36,400.0","36,600.0","37,000.0","36,100.0","2.24M","0.00%"
"21/10/2024","36,400.0","36,950.0","36,950.0","36,200.0","1.59M","-1.49%"
"18/10/2024","36,950.0","37,150.0","37,250.0","36,950.0","1.71M","0.00%"
"17/10/2024","36,950.0","36,900.0","37,000.0","36,300.0","3.03M","0.41%"
"16/10/2024","36,800.0","37,800.0","37,800.0","36,650.0","5.35M","-2.13%"
"15/10/2024","37,600.0","37,900.0","38,200.0","37,600.0","2.23M","-0.79%"
"14/10/2024","37,900.0","38,300.0","38,300.0","37,750.0","2.69M","-0.13%"
"11/10/2024","37,950.0","37,900.0","37,950.0","37,650.0","1.73M","0.40%"
"10/10/2024","37,800.0","38,250.0","38,550.0","37,800.0","2.67M","-1.18%"
"09/10/2024","38,250.0","37,750.0","38,250.0","37,600.0","2.57M","1.86%"
"08/10/2024","37,550.0","37,650.0","37,800.0","37,300.0","2.73M","-0.27%"
"07/10/2024","37,650.0","38,000.0","38,050.0","37,600.0","1.94M","-0.13%"
"04/10/2024","37,700.0","38,000.0","38,100.0","37,700.0","2.10M","-0.40%"
"03/10/2024","37,850.0","38,600.0","38,800.0","37,700.0","4.94M","-1.56%"
"02/10/2024","38,450.0","38,200.0","38,650.0","38,150.0","2.96M","0.52%"
"01/10/2024","38,250.0","38,400.0","38,950.0","38,250.0","4.04M","-0.65%"
"30/09/2024","38,500.0","38,200.0","38,550.0","37,900.0","2.88M","0.65%"
"27/09/2024","38,250.0","38,650.0","38,800.0","38,150.0","4.62M","-0.91%"
"26/09/2024","38,600.0","39,250.0","39,750.0","38,500.0","5.39M","-1.40%"
"25/09/2024","39,150.0","38,450.0","39,150.0","38,150.0","7.52M","2.35%"
"24/09/2024","38,250.0","38,100.0","38,450.0","38,050.0","2.11M","0.39%"
"23/09/2024","38,100.0","38,000.0","38,600.0","37,900.0","4.71M","0.53%"
"20/09/2024","37,900.0","37,900.0","38,500.0","37,750.0","4.45M","0.53%"
"19/09/2024","37,700.0","38,000.0","38,000.0","37,300.0","3.95M","-0.26%"
"18/09/2024","37,800.0","37,950.0","38,000.0","37,600.0","3.91M","-0.40%"
