"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/11/2024","58,800.0","56,900.0","58,800.0","56,900.0","222.46K","3.70%"
"05/11/2024","56,700.0","56,900.0","56,900.0","56,200.0","54.96K","1.07%"
"04/11/2024","56,100.0","57,800.0","57,900.0","56,100.0","273.09K","-2.94%"
"01/11/2024","57,800.0","59,000.0","59,000.0","57,800.0","179.02K","-2.03%"
"31/10/2024","59,000.0","59,000.0","59,800.0","58,400.0","62.56K","0.00%"
"30/10/2024","59,000.0","58,000.0","59,700.0","54,800.0","116.11K","0.00%"
"29/10/2024","59,000.0","58,200.0","59,300.0","58,200.0","118.47K","1.37%"
"28/10/2024","58,200.0","59,000.0","59,000.0","58,200.0","286.31K","-1.36%"
"25/10/2024","59,000.0","60,400.0","60,500.0","59,000.0","166.30K","-1.01%"
"24/10/2024","59,600.0","59,600.0","60,600.0","59,600.0","168.56K","0.17%"
"23/10/2024","59,500.0","59,600.0","60,000.0","59,300.0","152.63K","-0.17%"
"22/10/2024","59,600.0","60,000.0","61,200.0","59,400.0","445.69K","-0.17%"
"21/10/2024","59,700.0","61,100.0","61,400.0","59,700.0","648.37K","-3.55%"
"18/10/2024","61,900.0","63,000.0","63,300.0","61,900.0","269.53K","-1.75%"
"17/10/2024","63,000.0","62,000.0","63,200.0","61,500.0","456.14K","1.61%"
"16/10/2024","62,000.0","59,900.0","62,700.0","59,900.0","745.14K","2.65%"
"15/10/2024","60,400.0","60,100.0","60,600.0","59,300.0","252.46K","0.00%"
"14/10/2024","60,400.0","60,900.0","61,300.0","60,000.0","176.39K","-0.49%"
"11/10/2024","60,700.0","60,200.0","60,800.0","59,700.0","185.52K","0.50%"
"10/10/2024","60,400.0","61,000.0","61,600.0","60,400.0","168.89K","-0.82%"
"09/10/2024","60,900.0","61,000.0","61,500.0","60,700.0","137.87K","-0.98%"
"08/10/2024","61,500.0","59,000.0","62,000.0","58,700.0","609.01K","3.36%"
"07/10/2024","59,500.0","61,400.0","61,400.0","59,400.0","244.88K","-1.33%"
"04/10/2024","60,300.0","59,600.0","61,000.0","58,500.0","311.22K","1.52%"
"03/10/2024","59,400.0","59,300.0","60,300.0","57,400.0","752.68K","0.34%"
"02/10/2024","59,200.0","61,000.0","61,000.0","58,900.0","609.86K","-2.31%"
"01/10/2024","60,600.0","61,300.0","62,200.0","60,500.0","655.70K","-1.14%"
"30/09/2024","61,300.0","64,000.0","64,000.0","61,300.0","821.74K","-4.22%"
"27/09/2024","64,000.0","64,800.0","65,200.0","64,000.0","504.59K","-1.39%"
"26/09/2024","64,900.0","65,500.0","65,600.0","64,600.0","522.14K","-0.92%"
