"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/11/2024","56,500.0","54,500.0","56,600.0","54,500.0","418.20K","3.67%"
"05/11/2024","54,500.0","54,700.0","54,900.0","54,400.0","101.40K","-0.37%"
"04/11/2024","54,700.0","55,500.0","55,900.0","54,700.0","84.10K","-1.26%"
"01/11/2024","55,400.0","56,000.0","56,200.0","55,300.0","50.30K","-2.81%"
"31/10/2024","57,000.0","55,500.0","57,000.0","55,200.0","77.00K","2.70%"
"30/10/2024","55,500.0","56,000.0","56,000.0","55,300.0","34.90K","-0.36%"
"29/10/2024","55,700.0","55,000.0","55,900.0","55,000.0","57.90K","1.27%"
"28/10/2024","55,000.0","55,300.0","55,300.0","54,900.0","102.60K","-0.54%"
"25/10/2024","55,300.0","55,800.0","55,900.0","55,000.0","111.40K","-0.90%"
"24/10/2024","55,800.0","56,200.0","56,300.0","55,600.0","92.20K","-0.71%"
"23/10/2024","56,200.0","55,600.0","56,300.0","55,600.0","121.70K","1.08%"
"22/10/2024","55,600.0","56,700.0","57,100.0","55,300.0","194.40K","-1.77%"
"21/10/2024","56,600.0","57,100.0","57,700.0","56,500.0","140.10K","-2.25%"
"18/10/2024","57,900.0","57,900.0","58,700.0","57,900.0","79.10K","0.00%"
"17/10/2024","57,900.0","57,900.0","58,000.0","57,300.0","122.00K","-0.17%"
"16/10/2024","58,000.0","59,000.0","59,000.0","57,500.0","190.60K","-1.69%"
"15/10/2024","59,000.0","59,900.0","59,900.0","58,500.0","114.60K","-1.50%"
"14/10/2024","59,900.0","58,700.0","59,900.0","58,700.0","207.20K","2.04%"
"11/10/2024","58,700.0","58,300.0","58,700.0","58,000.0","103.90K","0.86%"
"10/10/2024","58,200.0","58,700.0","59,100.0","58,100.0","75.50K","-0.85%"
"09/10/2024","58,700.0","58,300.0","58,900.0","58,000.0","101.30K","0.69%"
"08/10/2024","58,300.0","58,000.0","58,600.0","57,300.0","96.20K","0.69%"
"07/10/2024","57,900.0","58,200.0","58,200.0","57,200.0","219.50K","-0.52%"
"04/10/2024","58,200.0","58,700.0","59,400.0","58,100.0","140.40K","-0.85%"
"03/10/2024","58,700.0","60,500.0","60,500.0","58,100.0","102.20K","-2.33%"
"02/10/2024","60,100.0","60,000.0","60,800.0","59,600.0","216.30K","0.17%"
"01/10/2024","60,000.0","59,900.0","60,800.0","59,600.0","189.40K","0.00%"
"30/09/2024","60,000.0","59,100.0","60,000.0","59,000.0","157.40K","0.67%"
"27/09/2024","59,600.0","60,200.0","60,200.0","59,000.0","209.50K","-1.32%"
"26/09/2024","60,400.0","60,500.0","60,800.0","59,800.0","259.80K","0.67%"
"25/09/2024","60,000.0","60,500.0","60,500.0","59,700.0","153.40K","-0.33%"
"24/09/2024","60,200.0","59,000.0","60,200.0","58,800.0","383.40K","2.03%"
"23/09/2024","59,000.0","59,000.0","59,000.0","58,800.0","124.90K","0.68%"
"20/09/2024","58,600.0","59,800.0","59,800.0","58,600.0","198.60K","-1.18%"
"19/09/2024","59,300.0","59,200.0","59,400.0","58,700.0","223.20K","0.00%"
"18/09/2024","59,300.0","58,400.0","59,400.0","58,400.0","427.50K","1.89%"
"17/09/2024","58,200.0","58,200.0","58,200.0","57,800.0","177.90K","0.52%"
"16/09/2024","57,900.0","57,800.0","58,400.0","57,400.0","","0.00%"
"13/09/2024","57,900.0","58,100.0","58,100.0","57,300.0","57.40K","-0.17%"
"12/09/2024","58,000.0","57,600.0","59,000.0","57,200.0","69.00K","0.35%"
"11/09/2024","57,800.0","57,500.0","58,000.0","56,700.0","117.60K","0.17%"
