"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/11/2024","13,400.0","13,200.0","13,400.0","13,100.0","1.06M","0.75%"
"05/11/2024","13,300.0","13,300.0","13,400.0","13,100.0","715.93K","0.00%"
"04/11/2024","13,300.0","12,800.0","13,400.0","12,500.0","1.59M","0.76%"
"01/11/2024","13,200.0","13,300.0","13,300.0","13,100.0","648.43K","-1.49%"
"31/10/2024","13,400.0","12,900.0","13,500.0","12,900.0","3.44M","3.08%"
"30/10/2024","13,000.0","13,200.0","13,200.0","12,800.0","613.26K","-1.52%"
"29/10/2024","13,200.0","12,900.0","13,300.0","12,800.0","2.00M","2.33%"
"28/10/2024","12,900.0","13,000.0","13,100.0","12,700.0","577.91K","-0.77%"
"25/10/2024","13,000.0","12,700.0","13,000.0","12,600.0","1.21M","2.36%"
"24/10/2024","12,700.0","12,800.0","13,000.0","12,700.0","785.94K","-0.78%"
"23/10/2024","12,800.0","13,000.0","13,100.0","12,800.0","1.18M","-1.54%"
"22/10/2024","13,000.0","13,100.0","13,200.0","12,800.0","1.52M","-0.76%"
"21/10/2024","13,100.0","13,200.0","13,500.0","13,100.0","1.60M","-0.76%"
"18/10/2024","13,200.0","13,500.0","13,600.0","13,200.0","1.59M","-2.22%"
"17/10/2024","13,500.0","13,300.0","13,500.0","13,100.0","1.85M","1.50%"
"16/10/2024","13,300.0","13,100.0","13,300.0","13,000.0","823.26K","1.53%"
"15/10/2024","13,100.0","13,100.0","13,300.0","13,000.0","780.60K","0.00%"
"14/10/2024","13,100.0","13,400.0","13,400.0","13,100.0","977.52K","-0.76%"
"11/10/2024","13,200.0","13,400.0","13,500.0","13,200.0","1.32M","-1.49%"
"10/10/2024","13,400.0","13,200.0","13,500.0","13,200.0","2.47M","1.52%"
"09/10/2024","13,200.0","13,300.0","13,400.0","13,200.0","1.17M","-0.75%"
"08/10/2024","13,300.0","13,200.0","13,300.0","13,100.0","1.04M","0.76%"
"07/10/2024","13,200.0","13,100.0","13,300.0","13,000.0","1.42M","0.76%"
"04/10/2024","13,100.0","13,200.0","13,300.0","13,100.0","1.33M","-0.76%"
"03/10/2024","13,200.0","13,400.0","13,600.0","13,100.0","2.11M","-1.49%"
"02/10/2024","13,400.0","13,900.0","13,900.0","13,400.0","2.36M","-3.60%"
"01/10/2024","13,900.0","14,100.0","14,200.0","13,800.0","2.56M","-1.42%"
"30/09/2024","14,100.0","13,900.0","14,200.0","13,700.0","3.84M","1.44%"
"27/09/2024","13,900.0","13,600.0","14,000.0","13,500.0","4.89M","2.96%"
"26/09/2024","13,500.0","13,700.0","13,700.0","13,400.0","1.67M","-1.46%"
"25/09/2024","13,700.0","13,500.0","13,700.0","13,300.0","2.31M","1.48%"
"24/09/2024","13,500.0","13,400.0","13,500.0","13,300.0","664.60K","0.00%"
"23/09/2024","13,500.0","13,600.0","13,600.0","13,300.0","1.17M","-0.74%"
"20/09/2024","13,600.0","13,400.0","13,800.0","13,400.0","2.31M","0.00%"
"19/09/2024","13,600.0","13,700.0","13,700.0","13,400.0","1.12M","0.00%"
"18/09/2024","13,600.0","13,400.0","13,600.0","13,200.0","2.29M","1.49%"
"17/09/2024","13,400.0","13,200.0","13,400.0","13,000.0","1.22M","0.75%"
"16/09/2024","13,300.0","13,100.0","13,400.0","12,900.0","2.17M","1.53%"
"13/09/2024","13,100.0","13,200.0","13,300.0","13,000.0","875.04K","-0.76%"
"12/09/2024","13,200.0","13,100.0","13,300.0","13,000.0","569.99K","0.76%"
"11/09/2024","13,100.0","12,600.0","13,100.0","12,600.0","810.39K","0.77%"
"10/09/2024","13,000.0","13,400.0","13,600.0","13,000.0","1.33M","-2.99%"
"09/09/2024","13,400.0","13,600.0","13,600.0","13,300.0","655.49K","-1.47%"
"06/09/2024","13,600.0","13,400.0","13,700.0","13,200.0","1.07M","0.74%"
"05/09/2024","13,500.0","13,500.0","13,800.0","13,400.0","1.96M","0.75%"
"04/09/2024","13,400.0","13,700.0","13,800.0","13,200.0","834.29K","-1.47%"
"30/08/2024","13,600.0","13,300.0","13,700.0","13,100.0","2.27M","2.26%"
"29/08/2024","13,300.0","13,400.0","13,500.0","13,200.0","1.11M","-1.48%"
"28/08/2024","13,500.0","13,500.0","13,600.0","13,200.0","1.36M","-0.74%"
"27/08/2024","13,600.0","13,800.0","13,800.0","13,400.0","1.10M","-0.73%"
"26/08/2024","13,700.0","13,700.0","14,000.0","13,500.0","1.51M","0.00%"
"23/08/2024","13,700.0","13,500.0","13,700.0","13,200.0","1.96M","1.48%"
"22/08/2024","13,500.0","13,400.0","13,800.0","13,300.0","1.20M","-0.74%"
"21/08/2024","13,600.0","13,800.0","13,900.0","13,600.0","1.46M","-1.45%"
"20/08/2024","13,800.0","13,500.0","14,000.0","13,300.0","1.87M","2.22%"
"19/08/2024","13,500.0","13,700.0","14,000.0","13,500.0","1.90M","-0.74%"
"16/08/2024","13,600.0","12,800.0","13,700.0","12,700.0","2.45M","7.09%"
"15/08/2024","12,700.0","13,000.0","13,000.0","12,700.0","911.13K","-3.05%"
"14/08/2024","13,100.0","13,200.0","13,500.0","12,900.0","1.30M","-0.76%"
"13/08/2024","13,200.0","13,200.0","13,400.0","13,000.0","1.36M","0.00%"
"12/08/2024","13,200.0","12,700.0","13,200.0","12,700.0","1.79M","3.13%"
"09/08/2024","12,800.0","12,700.0","13,000.0","12,600.0","1.17M","0.79%"
"08/08/2024","12,700.0","12,500.0","13,200.0","12,400.0","1.73M","0.00%"
"07/08/2024","12,700.0","12,700.0","12,800.0","12,300.0","1.20M","0.00%"
"06/08/2024","12,700.0","12,100.0","12,700.0","12,000.0","1.17M","4.10%"
"05/08/2024","12,200.0","13,500.0","13,500.0","12,200.0","1.89M","-9.63%"
"02/08/2024","13,500.0","13,600.0","13,800.0","13,200.0","1.58M","0.00%"
"01/08/2024","13,500.0","14,600.0","14,800.0","13,400.0","2.34M","-7.53%"
"31/07/2024","14,600.0","14,800.0","15,200.0","14,600.0","1.85M","-2.01%"
"30/07/2024","14,900.0","15,200.0","15,300.0","14,700.0","1.32M","-1.97%"
"29/07/2024","15,200.0","14,900.0","15,300.0","14,800.0","1.70M","2.01%"
"26/07/2024","14,900.0","14,500.0","15,100.0","14,500.0","1.57M","0.68%"
"25/07/2024","14,800.0","14,600.0","14,800.0","14,400.0","1.04M","0.00%"
"24/07/2024","14,800.0","14,400.0","14,800.0","14,100.0","2.08M","1.37%"
"23/07/2024","14,600.0","14,700.0","15,000.0","14,200.0","1.50M","-0.68%"
"22/07/2024","14,700.0","15,500.0","15,500.0","14,500.0","2.25M","-5.16%"
"19/07/2024","15,500.0","15,600.0","15,600.0","15,000.0","1.64M","-0.64%"
"18/07/2024","15,600.0","15,300.0","15,600.0","14,900.0","2.15M","1.96%"
"17/07/2024","15,300.0","16,500.0","16,500.0","14,800.0","4.13M","-6.71%"
"16/07/2024","16,400.0","16,800.0","17,000.0","16,200.0","2.28M","-2.38%"
"15/07/2024","16,800.0","15,600.0","17,100.0","15,500.0","8.94M","7.69%"
"12/07/2024","15,600.0","15,400.0","15,700.0","15,300.0","2.56M","1.30%"
"11/07/2024","15,400.0","15,700.0","15,900.0","15,300.0","2.56M","-1.28%"
"10/07/2024","15,600.0","15,200.0","15,900.0","15,200.0","3.69M","2.63%"
"09/07/2024","15,200.0","15,800.0","15,800.0","15,200.0","2.94M","-3.18%"
"08/07/2024","15,700.0","15,800.0","16,000.0","15,400.0","3.19M","-0.63%"
"05/07/2024","15,800.0","15,100.0","15,800.0","15,000.0","4.81M","3.95%"
"04/07/2024","15,200.0","14,800.0","15,400.0","14,700.0","3.46M","2.70%"
"03/07/2024","14,800.0","15,000.0","15,200.0","14,700.0","2.54M","-1.33%"
"02/07/2024","15,000.0","15,400.0","15,400.0","14,900.0","2.12M","-1.32%"
"01/07/2024","15,200.0","14,800.0","15,400.0","14,600.0","3.76M","3.40%"
"28/06/2024","14,700.0","14,500.0","15,000.0","14,400.0","3.70M","0.68%"
"27/06/2024","14,600.0","14,600.0","14,700.0","14,300.0","2.19M","0.00%"
"26/06/2024","14,600.0","14,400.0","14,700.0","14,200.0","2.92M","0.69%"
"25/06/2024","14,500.0","14,200.0","14,500.0","14,100.0","1.80M","0.69%"
"24/06/2024","14,400.0","14,600.0","14,900.0","14,100.0","3.36M","-1.37%"
"21/06/2024","14,600.0","14,300.0","14,600.0","14,200.0","2.43M","2.10%"
"20/06/2024","14,300.0","14,700.0","14,800.0","14,000.0","3.50M","-2.72%"
