"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"06/11/2024","14,700.0","14,350.0","14,700.0","14,350.0","7.42M","2.44%"
"05/11/2024","14,350.0","14,350.0","14,400.0","14,300.0","4.07M","0.35%"
"04/11/2024","14,300.0","14,450.0","14,500.0","14,200.0","7.98M","-0.35%"
"01/11/2024","14,350.0","14,450.0","14,500.0","14,350.0","6.21M","-1.37%"
"31/10/2024","14,550.0","14,550.0","14,650.0","14,450.0","4.97M","0.34%"
"30/10/2024","14,500.0","14,700.0","14,750.0","14,450.0","5.35M","-1.36%"
"29/10/2024","14,700.0","14,700.0","14,800.0","14,600.0","5.91M","0.68%"
"28/10/2024","14,600.0","14,300.0","14,650.0","14,300.0","8.70M","2.10%"
"25/10/2024","14,300.0","14,400.0","14,500.0","14,300.0","5.68M","0.00%"
"24/10/2024","14,300.0","14,600.0","14,650.0","14,300.0","13.24M","-2.05%"
"23/10/2024","14,600.0","14,700.0","14,750.0","14,550.0","11.00M","-0.34%"
"22/10/2024","14,650.0","14,650.0","14,800.0","14,600.0","10.22M","-0.34%"
"21/10/2024","14,700.0","14,750.0","15,000.0","14,650.0","12.61M","-1.01%"
"18/10/2024","14,850.0","14,950.0","15,050.0","14,850.0","7.74M","-0.34%"
"17/10/2024","14,900.0","14,700.0","14,900.0","14,600.0","7.67M","1.71%"
"16/10/2024","14,650.0","14,800.0","14,950.0","14,600.0","14.09M","-1.01%"
"15/10/2024","14,800.0","15,150.0","15,300.0","14,800.0","19.09M","-2.31%"
"14/10/2024","15,150.0","15,350.0","15,450.0","15,100.0","14.03M","-0.33%"
"11/10/2024","15,200.0","15,150.0","15,350.0","15,100.0","9.32M","0.66%"
"10/10/2024","15,100.0","15,300.0","15,450.0","15,100.0","12.95M","-0.66%"
"09/10/2024","15,200.0","14,900.0","15,350.0","14,850.0","16.76M","2.36%"
"08/10/2024","14,850.0","14,950.0","15,150.0","14,800.0","8.76M","-0.67%"
"07/10/2024","14,950.0","14,800.0","15,100.0","14,750.0","10.63M","2.05%"
"04/10/2024","14,650.0","14,800.0","14,950.0","14,650.0","14.28M","-1.01%"
"03/10/2024","14,800.0","15,150.0","15,300.0","14,800.0","19.58M","-1.99%"
"02/10/2024","15,100.0","15,350.0","15,400.0","15,100.0","16.23M","-2.27%"
"01/10/2024","15,450.0","15,300.0","15,700.0","15,300.0","25.69M","1.31%"
"30/09/2024","15,250.0","15,200.0","15,450.0","15,150.0","14.30M","0.33%"
"27/09/2024","15,200.0","15,150.0","15,550.0","15,100.0","24.26M","1.00%"
"26/09/2024","15,050.0","15,150.0","15,300.0","15,050.0","13.90M","0.00%"
"25/09/2024","15,050.0","14,900.0","15,150.0","14,850.0","19.32M","1.69%"
"24/09/2024","14,800.0","14,800.0","14,850.0","14,650.0","10.80M","-0.34%"
"23/09/2024","14,850.0","15,000.0","15,100.0","14,800.0","8.60M","-1.00%"
"20/09/2024","15,000.0","14,750.0","15,200.0","14,750.0","20.36M","2.74%"
"19/09/2024","14,600.0","14,800.0","14,850.0","14,600.0","9.42M","-0.68%"
"18/09/2024","14,700.0","14,600.0","14,900.0","14,550.0","11.50M","1.03%"
"17/09/2024","14,550.0","14,100.0","14,550.0","14,100.0","6.36M","3.19%"
"16/09/2024","14,100.0","14,300.0","14,400.0","14,100.0","","-1.40%"
"13/09/2024","14,300.0","14,300.0","14,500.0","14,250.0","5.37M","0.00%"
"12/09/2024","14,300.0","14,450.0","14,500.0","14,300.0","3.58M","0.00%"
"11/09/2024","14,300.0","14,450.0","14,550.0","14,150.0","8.44M","-1.38%"
"10/09/2024","14,500.0","14,900.0","14,950.0","14,450.0","10.53M","-4.29%"
"09/09/2024","15,150.0","15,000.0","15,350.0","15,000.0","7.17M","-0.33%"
"06/09/2024","15,200.0","14,800.0","15,450.0","14,800.0","9.01M","-0.33%"
"05/09/2024","15,250.0","14,200.0","15,500.0","14,200.0","8.24M","0.33%"
"04/09/2024","15,200.0","15,250.0","15,500.0","14,450.0","11.18M","-1.94%"
"30/08/2024","15,500.0","15,650.0","15,800.0","15,500.0","6.64M","-0.64%"
"29/08/2024","15,600.0","14,500.0","15,850.0","14,500.0","10.04M","1.30%"
"28/08/2024","15,400.0","15,100.0","15,600.0","15,100.0","9.02M","-0.32%"
"27/08/2024","15,450.0","14,650.0","15,750.0","14,650.0","10.33M","-1.59%"
"26/08/2024","15,700.0","15,650.0","16,000.0","15,600.0","17.11M","0.64%"
"23/08/2024","15,600.0","15,500.0","15,850.0","15,400.0","12.16M","0.65%"
"22/08/2024","15,500.0","15,350.0","15,900.0","15,350.0","15.27M","-0.32%"
"21/08/2024","15,550.0","15,800.0","15,800.0","15,450.0","10.62M","0.00%"
"20/08/2024","15,550.0","14,600.0","15,600.0","14,600.0","22.25M","4.01%"
"19/08/2024","14,950.0","14,300.0","15,250.0","14,300.0","9.10M","-0.33%"
"16/08/2024","15,000.0","14,000.0","15,150.0","14,000.0","18.12M","4.90%"
"15/08/2024","14,300.0","14,250.0","14,750.0","14,250.0","4.59M","-1.04%"
"14/08/2024","14,450.0","14,300.0","14,800.0","13,700.0","7.85M","-1.70%"
"13/08/2024","14,700.0","14,550.0","15,500.0","14,500.0","12.79M","-2.33%"
"12/08/2024","15,050.0","14,700.0","15,300.0","14,700.0","6.02M","-2.90%"
"09/08/2024","15,500.0","15,050.0","15,500.0","14,850.0","10.15M","5.44%"
"08/08/2024","14,700.0","14,600.0","15,150.0","14,500.0","10.43M","0.34%"
"07/08/2024","14,650.0","14,000.0","14,800.0","14,000.0","4.70M","-0.68%"
"06/08/2024","14,750.0","14,200.0","14,800.0","13,500.0","8.58M","3.87%"
"05/08/2024","14,200.0","15,100.0","15,200.0","14,200.0","16.44M","-6.89%"
"02/08/2024","15,250.0","14,900.0","15,350.0","14,550.0","9.40M","1.67%"
"01/08/2024","15,000.0","15,600.0","15,650.0","15,000.0","10.96M","-3.54%"
"31/07/2024","15,550.0","15,650.0","15,750.0","15,500.0","4.93M","0.32%"
"30/07/2024","15,500.0","15,650.0","15,800.0","15,450.0","5.43M","-0.96%"
"29/07/2024","15,650.0","15,850.0","16,000.0","15,650.0","6.17M","-0.63%"
"26/07/2024","15,750.0","15,750.0","15,900.0","15,650.0","4.69M","0.32%"
"25/07/2024","15,700.0","15,600.0","15,900.0","15,450.0","5.64M","-0.95%"
"24/07/2024","15,850.0","15,700.0","15,950.0","15,100.0","12.28M","0.96%"
"23/07/2024","15,700.0","16,100.0","16,100.0","15,550.0","6.44M","-1.88%"
"22/07/2024","16,000.0","15,900.0","16,050.0","15,550.0","12.74M","0.63%"
"19/07/2024","15,900.0","15,650.0","16,150.0","15,500.0","13.93M","2.58%"
"18/07/2024","15,500.0","15,450.0","15,650.0","15,000.0","13.11M","0.65%"
"17/07/2024","15,400.0","16,050.0","16,150.0","15,300.0","14.01M","-3.45%"
"16/07/2024","15,950.0","16,200.0","16,350.0","15,850.0","15.03M","-1.54%"
"15/07/2024","16,200.0","16,450.0","16,550.0","16,200.0","10.31M","-1.52%"
"12/07/2024","16,450.0","16,550.0","16,700.0","16,400.0","7.25M","-0.60%"
"11/07/2024","16,550.0","16,400.0","16,600.0","16,400.0","8.23M","1.53%"
"10/07/2024","16,300.0","16,500.0","16,600.0","16,250.0","8.98M","-1.51%"
"09/07/2024","16,550.0","16,350.0","16,600.0","16,300.0","8.51M","1.22%"
"08/07/2024","16,350.0","16,900.0","16,900.0","16,350.0","8.76M","-1.51%"
"05/07/2024","16,600.0","16,600.0","16,750.0","16,500.0","7.01M","0.00%"
"04/07/2024","16,600.0","16,250.0","16,950.0","16,200.0","17.86M","2.47%"
"03/07/2024","16,200.0","16,300.0","16,350.0","16,150.0","9.48M","0.00%"
"02/07/2024","16,200.0","16,100.0","16,450.0","16,100.0","9.42M","0.62%"
"01/07/2024","16,100.0","16,150.0","16,250.0","15,900.0","10.12M","0.31%"
"28/06/2024","16,050.0","16,500.0","16,500.0","16,050.0","10.54M","-2.13%"
