Date,Price
11/7/2024,2.802
11/6/2024,2.775
11/5/2024,2.827
11/4/2024,2.819
11/1/2024,2.816
10/31/2024,2.798
10/30/2024,2.792
10/29/2024,2.792
10/28/2024,2.789
10/25/2024,2.796
10/24/2024,2.798
10/23/2024,2.799
10/22/2024,2.786
10/21/2024,2.766
10/18/2024,2.758
10/17/2024,2.756
10/16/2024,2.753
10/15/2024,2.759
10/14/2024,2.76
10/11/2024,2.757
10/10/2024,2.744
10/9/2024,2.759
10/8/2024,2.759
10/7/2024,2.762
10/4/2024,2.768
10/3/2024,2.763
10/2/2024,2.764
10/1/2024,2.764
9/30/2024,2.768
9/27/2024,2.75
9/26/2024,2.759
9/25/2024,2.767
9/24/2024,2.76
9/23/2024,2.767
9/20/2024,2.771
9/19/2024,2.786
9/18/2024,2.801
9/17/2024,2.783
9/16/2024,2.799
9/13/2024,2.802
9/12/2024,2.801
9/11/2024,2.809
9/10/2024,2.808
9/9/2024,2.808
9/6/2024,2.827
9/5/2024,2.836
9/4/2024,2.826
8/30/2024,2.83
8/29/2024,2.823
8/28/2024,2.829
8/27/2024,2.821
8/26/2024,2.815
8/23/2024,2.824
8/22/2024,2.813
8/21/2024,2.828
8/20/2024,2.832
8/19/2024,2.843
8/16/2024,2.838
8/15/2024,2.845
8/14/2024,2.843
8/13/2024,2.849
8/12/2024,2.853
8/9/2024,2.868
8/8/2024,2.853
8/7/2024,2.862
8/6/2024,2.868
8/5/2024,2.892
8/2/2024,2.899
8/1/2024,2.88
7/31/2024,2.893
7/30/2024,2.895
7/29/2024,2.903
7/26/2024,2.897
7/25/2024,2.881
7/24/2024,2.908
7/23/2024,2.899
7/22/2024,2.903
7/19/2024,2.895
7/18/2024,2.904
7/17/2024,2.902
7/16/2024,2.899
7/15/2024,2.901
7/12/2024,2.894
7/11/2024,2.89
7/10/2024,2.888
7/9/2024,2.894
7/8/2024,2.883
7/5/2024,2.874
7/4/2024,2.872
7/3/2024,2.857
7/2/2024,2.875
7/1/2024,2.882
6/28/2024,2.885
6/27/2024,2.889
6/26/2024,2.899
6/25/2024,2.878
6/24/2024,2.88
6/21/2024,2.863
6/20/2024,2.85
6/19/2024,2.89
6/18/2024,2.907
6/17/2024,2.903
6/14/2024,2.901
6/13/2024,2.907
6/12/2024,2.932
6/11/2024,2.939
6/10/2024,2.929
6/7/2024,2.908
6/6/2024,2.916
6/5/2024,2.914
6/4/2024,2.911
6/3/2024,2.929
5/31/2024,2.948
5/30/2024,2.967
5/29/2024,2.955
5/28/2024,2.988
5/27/2024,3.014
5/24/2024,3.035
5/23/2024,3.027
5/22/2024,2.959
5/21/2024,2.852
5/20/2024,2.868
5/17/2024,2.857
5/16/2024,2.865
5/15/2024,2.878
5/14/2024,2.877
5/13/2024,2.878
5/10/2024,2.862
5/9/2024,2.875
5/8/2024,2.884
5/7/2024,2.875
5/6/2024,2.881
5/3/2024,2.924
5/2/2024,2.926
5/1/2024,2.85
4/30/2024,2.85
4/29/2024,2.85
4/26/2024,2.9
4/25/2024,2.903
4/24/2024,2.921
4/23/2024,2.91
4/22/2024,2.927
4/19/2024,2.922
4/18/2024,2.873
4/17/2024,2.923
4/16/2024,2.94
4/15/2024,2.894
4/12/2024,2.861
4/11/2024,2.831
4/10/2024,2.809
4/9/2024,2.809
4/8/2024,2.871
4/5/2024,2.883
4/4/2024,2.922
4/3/2024,2.915
4/2/2024,2.879
4/1/2024,2.757
3/29/2024,2.747
3/28/2024,2.678
3/27/2024,2.683
3/26/2024,2.663
3/25/2024,2.658
3/22/2024,2.636
3/21/2024,2.619
3/20/2024,2.641
3/19/2024,2.622
3/18/2024,2.63
3/15/2024,2.623
3/14/2024,2.607
3/13/2024,2.619
3/12/2024,2.609
3/11/2024,2.586
3/8/2024,2.616
3/7/2024,2.495
3/6/2024,2.427
3/5/2024,2.403
3/4/2024,2.406
3/1/2024,2.406
2/29/2024,2.462
2/28/2024,2.378
2/27/2024,2.424
2/26/2024,2.462
2/23/2024,2.427
2/22/2024,2.41
2/21/2024,2.385
2/20/2024,2.402
2/19/2024,2.393
2/16/2024,2.382
2/15/2024,2.398
2/14/2024,2.328
2/13/2024,2.328
2/12/2024,2.328
2/9/2024,2.328
2/8/2024,2.328
2/7/2024,2.405
2/6/2024,2.422
2/5/2024,2.438
2/2/2024,2.405
2/1/2024,2.413
1/31/2024,2.422
1/30/2024,2.397
1/29/2024,2.379
1/26/2024,2.401
1/25/2024,2.369
1/24/2024,2.297
1/23/2024,2.313
1/22/2024,2.358
1/19/2024,2.376
1/18/2024,2.351
1/17/2024,2.358
1/16/2024,2.321
1/15/2024,2.323
1/12/2024,2.328
1/11/2024,2.321
1/10/2024,2.319
1/9/2024,2.308
1/8/2024,2.309
